County,State,Cases,Level
Statewide Unallocated,IA,0.0,Green
Mahaska County,IA,0.6,Green
Keokuk County,IA,1.4,Yellow
Greene County,IA,1.6,Yellow
Lucas County,IA,1.7,Yellow
Kossuth County,IA,1.9,Yellow
Adair County,IA,2.0,Yellow
Des Moines County,IA,2.2,Yellow
Louisa County,IA,2.6,Yellow
Guthrie County,IA,2.7,Yellow
Lee County,IA,3.4,Yellow
Union County,IA,3.5,Yellow
Iowa County,IA,3.5,Yellow
Decatur County,IA,3.6,Yellow
Henry County,IA,3.6,Yellow
Mills County,IA,3.8,Yellow
Bremer County,IA,4.0,Yellow
Jones County,IA,4.1,Yellow
Van Buren County,IA,4.1,Yellow
Harrison County,IA,4.1,Yellow
Clayton County,IA,4.1,Yellow
Jasper County,IA,4.2,Yellow
Ida County,IA,4.2,Yellow
Sac County,IA,4.4,Yellow
Jackson County,IA,4.4,Yellow
Wayne County,IA,4.4,Yellow
Buchanan County,IA,4.7,Yellow
Taylor County,IA,4.7,Yellow
Chickasaw County,IA,4.8,Yellow
Davis County,IA,4.8,Yellow
Wapello County,IA,4.9,Yellow
Lyon County,IA,4.9,Yellow
Cherokee County,IA,5.1,Yellow
Marion County,IA,5.2,Yellow
Allamakee County,IA,5.2,Yellow
Cass County,IA,5.6,Yellow
Hamilton County,IA,5.8,Yellow
Ringgold County,IA,5.8,Yellow
Linn County,IA,5.9,Yellow
Benton County,IA,6.1,Yellow
Clinton County,IA,6.8,Yellow
O'Brien County,IA,7.3,Yellow
Hardin County,IA,7.6,Yellow
Pottawattamie County,IA,7.7,Yellow
Jefferson County,IA,7.8,Yellow
Boone County,IA,8.2,Yellow
Sioux County,IA,8.2,Yellow
Floyd County,IA,8.2,Yellow
Delaware County,IA,8.4,Yellow
Madison County,IA,8.7,Yellow
Cedar County,IA,9.2,Yellow
Winneshiek County,IA,9.3,Yellow
Muscatine County,IA,9.4,Yellow
Hancock County,IA,9.4,Yellow
Washington County,IA,9.8,Yellow
Grundy County,IA,10.5,Orange
Winnebago County,IA,11.0,Orange
Warren County,IA,11.4,Orange
Woodbury County,IA,11.6,Orange
Calhoun County,IA,11.8,Orange
Butler County,IA,11.9,Orange
Humboldt County,IA,12.0,Orange
Carroll County,IA,12.0,Orange
Fayette County,IA,12.4,Orange
Clay County,IA,12.5,Orange
Crawford County,IA,12.7,Orange
Marshall County,IA,13.1,Orange
Monona County,IA,13.3,Orange
Buena Vista County,IA,14.6,Orange
Story County,IA,14.6,Orange
Shelby County,IA,15.0,Orange
Dallas County,IA,15.1,Orange
Clarke County,IA,15.2,Orange
Worth County,IA,15.5,Orange
Plymouth County,IA,15.9,Orange
Scott County,IA,16.0,Orange
Emmet County,IA,17.1,Orange
Polk County,IA,17.1,Orange
Wright County,IA,19.3,Orange
Palo Alto County,IA,20.9,Orange
Tama County,IA,21.2,Orange
Mitchell County,IA,22.9,Orange
Howard County,IA,23.4,Orange
Black Hawk County,IA,23.4,Orange
Johnson County,IA,23.6,Orange
Cerro Gordo County,IA,23.9,Orange
Osceola County,IA,24.0,Orange
Dickinson County,IA,25.7,Red
Dubuque County,IA,27.0,Red
Webster County,IA,27.9,Red
Franklin County,IA,28.4,Red
Pocahontas County,IA,58.3,Red
Boundary County,ID,0.0,Green
Camas County,ID,0.0,Green
Butte County,ID,0.0,Green
Clark County,ID,0.0,Green
Lincoln County,ID,0.0,Green
Lewis County,ID,0.0,Green
Lemhi County,ID,0.0,Green
Statewide Unallocated,ID,0.0,Green
Jefferson County,ID,0.5,Green
Clearwater County,ID,1.6,Yellow
Idaho County,ID,1.7,Yellow
Nez Perce County,ID,1.8,Yellow
Power County,ID,1.9,Yellow
Caribou County,ID,2.0,Yellow
Madison County,ID,2.1,Yellow
Bannock County,ID,2.8,Yellow
Benewah County,ID,3.1,Yellow
Bonneville County,ID,3.2,Yellow
Custer County,ID,3.3,Yellow
Shoshone County,ID,3.3,Yellow
Adams County,ID,3.3,Yellow
Fremont County,ID,3.3,Yellow
Bingham County,ID,3.7,Yellow
Gooding County,ID,3.8,Yellow
Franklin County,ID,4.1,Yellow
Bonner County,ID,4.7,Yellow
Bear Lake County,ID,4.7,Yellow
Latah County,ID,5.0,Yellow
Boise County,ID,5.5,Yellow
Blaine County,ID,6.8,Yellow
Teton County,ID,7.1,Yellow
Jerome County,ID,8.8,Yellow
Elmore County,ID,9.3,Yellow
Valley County,ID,12.5,Orange
Oneida County,ID,12.6,Orange
Gem County,ID,15.0,Orange
Twin Falls County,ID,19.4,Orange
Kootenai County,ID,20.4,Orange
Owyhee County,ID,20.5,Orange
Washington County,ID,28.0,Red
Ada County,ID,29.5,Red
Payette County,ID,32.2,Red
Cassia County,ID,33.9,Red
Minidoka County,ID,37.3,Red
Canyon County,ID,40.6,Red
Alexander County,IL,0.0,Green
Brown County,IL,0.0,Green
Carroll County,IL,0.0,Green
Calhoun County,IL,0.0,Green
Clay County,IL,0.0,Green
Crawford County,IL,0.0,Green
Edwards County,IL,0.0,Green
Gallatin County,IL,0.0,Green
Fayette County,IL,0.0,Green
Henderson County,IL,0.0,Green
Hardin County,IL,0.0,Green
Greene County,IL,0.0,Green
Johnson County,IL,0.0,Green
Jersey County,IL,0.0,Green
Lawrence County,IL,0.0,Green
Mason County,IL,0.0,Green
Menard County,IL,0.0,Green
Pope County,IL,0.0,Green
Richland County,IL,0.0,Green
Putnam County,IL,0.0,Green
Schuyler County,IL,0.0,Green
Saline County,IL,0.0,Green
Statewide Unallocated,IL,0.0,Green
Fulton County,IL,0.4,Green
Jefferson County,IL,0.4,Green
Woodford County,IL,0.7,Green
Shelby County,IL,0.7,Green
Hancock County,IL,0.8,Green
Edgar County,IL,0.8,Green
Pike County,IL,0.9,Green
Clark County,IL,0.9,Green
Piatt County,IL,0.9,Green
Christian County,IL,0.9,Green
McDonough County,IL,1.0,Green
Macon County,IL,1.1,Yellow
Wabash County,IL,1.2,Yellow
Jasper County,IL,1.5,Yellow
Marion County,IL,1.5,Yellow
Morgan County,IL,1.7,Yellow
McLean County,IL,1.7,Yellow
Lee County,IL,1.7,Yellow
Wayne County,IL,1.8,Yellow
Moultrie County,IL,2.0,Yellow
Washington County,IL,2.1,Yellow
Macoupin County,IL,2.2,Yellow
Bureau County,IL,2.2,Yellow
Jackson County,IL,2.5,Yellow
Vermilion County,IL,2.5,Yellow
Logan County,IL,2.5,Yellow
Marshall County,IL,2.5,Yellow
Bond County,IL,2.6,Yellow
Stephenson County,IL,2.6,Yellow
Stark County,IL,2.7,Yellow
Jo Daviess County,IL,2.7,Yellow
LaSalle County,IL,2.8,Yellow
Effingham County,IL,2.9,Yellow
Sangamon County,IL,2.9,Yellow
Scott County,IL,2.9,Yellow
Monroe County,IL,2.9,Yellow
Coles County,IL,3.1,Yellow
Whiteside County,IL,3.1,Yellow
Iroquois County,IL,3.2,Yellow
Tazewell County,IL,3.3,Yellow
Clinton County,IL,3.4,Yellow
Montgomery County,IL,3.5,Yellow
Hamilton County,IL,3.5,Yellow
Livingston County,IL,3.6,Yellow
Grundy County,IL,3.6,Yellow
Mercer County,IL,3.7,Yellow
Henry County,IL,3.8,Yellow
Randolph County,IL,4.0,Yellow
Massac County,IL,4.1,Yellow
Williamson County,IL,4.1,Yellow
White County,IL,4.2,Yellow
Winnebago County,IL,4.4,Yellow
Douglas County,IL,4.4,Yellow
Knox County,IL,4.6,Yellow
DeKalb County,IL,5.0,Yellow
Kendall County,IL,5.1,Yellow
Kankakee County,IL,5.1,Yellow
Ogle County,IL,5.4,Yellow
McHenry County,IL,5.4,Yellow
Perry County,IL,5.5,Yellow
DuPage County,IL,5.6,Yellow
Franklin County,IL,5.9,Yellow
Kane County,IL,6.2,Yellow
Lake County,IL,6.4,Yellow
Will County,IL,6.5,Yellow
Peoria County,IL,6.5,Yellow
Madison County,IL,6.5,Yellow
Cumberland County,IL,6.6,Yellow
Warren County,IL,6.8,Yellow
Champaign County,IL,6.9,Yellow
De Witt County,IL,7.3,Yellow
